DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
2022-11-16 04:42:26.000,      2022-11-16,04:42:26    ,                  1219.0
2022-11-16 04:41:26.000,      2022-11-16,04:41:26    ,                  1213.0
2022-11-16 04:40:26.000,      2022-11-16,04:40:26    ,                  1210.0
2022-11-16 04:39:26.000,      2022-11-16,04:39:26    ,                  1207.0
2022-11-16 04:38:26.000,      2022-11-16,04:38:26    ,                  1202.0
2022-11-16 04:37:26.000,      2022-11-16,04:37:26    ,                  1198.0
2022-11-16 04:36:26.000,      2022-11-16,04:36:26    ,                  1197.0
2022-11-16 04:35:26.000,      2022-11-16,04:35:26    ,                  1191.0
2022-11-16 04:34:26.000,      2022-11-16,04:34:26    ,                  1187.0
2022-11-16 04:33:26.000,      2022-11-16,04:33:26    ,                  1183.0
2022-11-16 04:32:26.000,      2022-11-16,04:32:26    ,                  1178.0
2022-11-16 04:31:26.000,      2022-11-16,04:31:26    ,                  1174.0
2022-11-16 04:30:26.000,      2022-11-16,04:30:26    ,                  1170.0
2022-11-16 04:29:26.000,      2022-11-16,04:29:26    ,                  1165.0
2022-11-16 04:28:26.000,      2022-11-16,04:28:26    ,                  1160.0
2022-11-16 04:27:26.000,      2022-11-16,04:27:26    ,                  1156.0
2022-11-16 04:26:26.000,      2022-11-16,04:26:26    ,                  1150.0
2022-11-16 04:25:26.000,      2022-11-16,04:25:26    ,                  1145.0
2022-11-16 04:24:26.000,      2022-11-16,04:24:26    ,                  1141.0
2022-11-16 04:23:26.000,      2022-11-16,04:23:26    ,                  1140.0
2022-11-16 04:22:26.000,      2022-11-16,04:22:26    ,                  1135.0
2022-11-16 04:21:26.000,      2022-11-16,04:21:26    ,                  1133.0
2022-11-16 04:20:26.000,      2022-11-16,04:20:26    ,                  1129.0
2022-11-16 04:19:26.000,      2022-11-16,04:19:26    ,                  1127.0
2022-11-16 04:18:26.000,      2022-11-16,04:18:26    ,                  1124.0
2022-11-16 04:17:26.000,      2022-11-16,04:17:26    ,                  1120.0
2022-11-16 04:16:26.000,      2022-11-16,04:16:26    ,                  1115.0
2022-11-16 04:15:26.000,      2022-11-16,04:15:26    ,                  1111.0
2022-11-16 04:14:26.000,      2022-11-16,04:14:26    ,                  1105.0
2022-11-16 04:13:26.000,      2022-11-16,04:13:26    ,                  1100.0
2022-11-16 04:12:26.000,      2022-11-16,04:12:26    ,                  1095.0
2022-11-16 04:11:26.000,      2022-11-16,04:11:26    ,                  1089.0
2022-11-16 04:10:26.000,      2022-11-16,04:10:26    ,                  1085.0
2022-11-16 04:09:26.000,      2022-11-16,04:09:26    ,                  1081.0
2022-11-16 04:08:26.000,      2022-11-16,04:08:26    ,                  1076.0
2022-11-16 04:07:26.000,      2022-11-16,04:07:26    ,                  1072.0
2022-11-16 04:06:26.000,      2022-11-16,04:06:26    ,                  1068.0
2022-11-16 04:05:26.000,      2022-11-16,04:05:26    ,                  1063.0
2022-11-16 04:04:26.000,      2022-11-16,04:04:26    ,                  1059.0
2022-11-16 04:03:26.000,      2022-11-16,04:03:26    ,                  1057.0
2022-11-16 04:02:26.000,      2022-11-16,04:02:26    ,                  1057.0
2022-11-16 04:01:26.000,      2022-11-16,04:01:26    ,                  1056.0
2022-11-16 04:00:26.000,      2022-11-16,04:00:26    ,                  1051.0
2022-11-16 03:59:26.000,      2022-11-16,03:59:26    ,                  1047.0
2022-11-16 03:58:26.000,      2022-11-16,03:58:26    ,                  1047.0
